rownum,date,hallprint_id,pit_id,species,river,site,site_no,length,hallprint_color,hallprint1,hallprint2,sex,recap,event,manhours
219,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
220,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
221,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
222,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
223,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
126,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
127,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
128,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
129,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
130,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
131,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
132,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
133,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
134,10/5/2021,GLUE-GLUE-,NA,MENE,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
229,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
230,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
231,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
232,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
233,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
234,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
235,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
236,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
237,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
238,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
239,10/5/2021,SCRATCH-SCRATCH-,NA,PLDO,Neches,Lower Neches,1,-,SCRATCH,-,-,NA,NEW,1,3
240,10/5/2021,Y-Y-,NA,POFR,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
241,10/5/2021,Y-Y-,NA,POFR,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
242,10/5/2021,Y-Y-,NA,POFR,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
